#,@type,title,description,identifier,theme,keyword,issued,modified,accrualPeriodicity,temporal,spatial,describedBy,references,license,publisher,contactPoint,@type-resource,identifier-resource,title-resource,description-resource,mediaType-resource,byteSize-resource,describedBy-resource,accessURL-resource,downloadURL-resource
18,"@type: ""dcat:Dataset""",Área afectada por plagas forestales,Contiene la información de las áreas afectadas por diferentes tipos de plagas forestales,plagas-forestales,Medio Ambiente,Plagas Forestales,30-06-2001,30-06-2018,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_plagas_forestales,Datos anuales de las áreas de bosque afectada por plagas forestales durante el año 2018 en formato XLSX,"Área de bosque afectada por plagas forestales durante el año 2018, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_plagas_forestales,Datos anuales de las áreas de bosque afectada por plagas forestales durante el año 2018 en formato CSV,"Área de bosque afectada por plagas forestales durante el año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
19,"@type: ""dcat:Dataset""",Categorías nacionales de manejo de áreas protegidas,Contiene la información de la categorías de manejo de la áreas protegidas de Honduras,categorias-areas-protegidas,Medio Ambiente,Áreas Protegidas,15-06-1987,25-01-2019,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_categorias_areas_protegidas,"Categorías nacionales de manejo de la áreas protegidas de Honduras acumuladas al año 2018, en formato XLSX","Área bajo categorías de manejo de áreas protegidas, acumuladas al año 2018, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_categorias_areas_protegidas,"Categorías nacionales de manejo de la áreas protegidas de Honduras acumuladas al año 2018, en formato CSV","Área bajo categorías de manejo de áreas protegidas, acumuladas al año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
20,"@type: ""dcat:Dataset""",Áreas protegidas del SINAPH,"Contiene la información de las áreas protegidas del SINAPH, legalmente declaradas",areas-protegidas,Medio Ambiente,Áreas protegidas declaradas,15-06-1987,25-01-2019,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_areas_protegidas,"Áreas protegidas del SINAPH, acumuladas al año 2018, en formato XLSX","Datos de las áreas protegidas de Honduras, acumuladas al año 2018, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_areas_protegidas,"Áreas protegidas del SINAPH, acumuladas al año 2018, en formato CSV","Datos de las áreas protegidas de Honduras, acumuladas al año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
21,"@type: ""dcat:Dataset""",Microcuencas declaradas,Contiene información de las microcuencas declaradas como zonas de protección forestal,informacion-microcuencas-declaradas,Medio Ambiente,Microcuenas declaradas,15-06-1987,15-02-2019,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_microcuencas_declaradas,"Microcuencas declaradas durante el año 2018, en formato XLSX","Datos de las microcuencas legalmente declaradas durante el año 2018, en formato XLS",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_microcuencas_declaradas,"Microcuencas declaradas durante el año 2018, en formato CSV","Datos de las microcuencas legalmente declaradas durante el año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
22,"@type: ""dcat:Dataset""",Plantaciones forestales,"Contiene información de las plantaciones forestales privadas, certificadas.",plantaciones-forestales,Medio Ambiente,Plantaciones certificadas,15-05-2005,15-02-2019,R/P1Y,2018,http://www.geonames.org/3608932,,"La ley forestal presenta los lineamientos para el manejo de las areas protegidas, esta se puede consutar desde: https://portalunico.iaip.gob.hn/Archivos/ComisionNacionaldeEnergia/Regulaciones(normativa)/Leyes/2015/Ley%20Forestal%20Areas%20Protegidas%20y%20Vida%20Silvestre%20(1).pdf",https://creativecommons.org/licenses/by/4.0/deed.es,"Instituto Nacional de Conservación y Desarrollo Forestal, Áreas Protegidas y Vida Silvestre (ICF)",info@icf.gob.hn ,"@type: ""dcat:Distribution""",estadistica_plantaciones_forestales_privadas,"Plantaciones forestales privadas durante el año 2018, en formtao XLSX","Datos de las plantaciones forestales privadas durante el año 2018, en formato XLSX",XLSX,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
,,,,,,,,,,,,,,,,,"@type: ""dcat:Distribution""",estadistica_plantaciones_forestales_privadas,"Plantaciones forestales privadas durante el año 2018, en formtao CSV","Datos de las plantaciones forestales privadas durante el año 2018, en formato CSV",CSV,,,,https://drive.google.com/open?id=1MW1KgYcUUsD6t07rId-pX185_T-gja4x
